SMILES,Accum,Accum_Class,Accum_SE,Compound_ID,SourceTable,MolWt,LogP,TPSA,HBD,HBA,RotB,RingCount,HeavyAtomCount,FracCSP3
O=C(OC)CNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,85.0,Low,20.0,2-70,Table2,391.4640000000002,1.6155999999999993,106.60999999999999,1.0,6.0,5.0,3.0,28.0,0.7619047619047619
O=C(NCCO)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,83.0,Low,5.0,2-71,Table2,389.44800000000026,0.05099999999999949,116.09000000000002,4.0,6.0,3.0,5.0,28.0,0.7142857142857143
O=C(NCCO)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,80.0,Low,3.0,2-72,Table2,389.44800000000026,0.05099999999999949,116.09000000000002,4.0,6.0,3.0,5.0,28.0,0.7142857142857143
O=C1NCC[C@]2(C)[C@H]3C(=O)C=C(C)[C@@H](CCC#N)[C@@H]3CCC2=C1,80.0,Low,3.0,2-73,Table2,312.41300000000007,2.9141800000000018,69.96000000000001,1.0,3.0,2.0,3.0,23.0,0.631578947368421
Clc1cc(CNC(=O)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]3[C@]42CC(=C)[C@@](O)(C4)CC3)ccc1,75.0,Low,0.0,2-74,Table2,469.9650000000004,2.912300000000001,95.86,3.0,5.0,3.0,6.0,33.0,0.5384615384615384
O=C(N1CCC(O)CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,69.0,Low,3.0,2-75,Table2,429.5130000000003,0.925799999999999,107.30000000000003,3.0,6.0,1.0,6.0,31.0,0.75
O[C@@]12C(=C)C[C@]3([C@@H](CC#N)c4c(C)cccc4[C@H]3CC1)C2,65.0,Low,13.0,2-76,Table2,279.38300000000004,3.9508000000000028,44.019999999999996,1.0,2.0,1.0,4.0,21.0,0.5263157894736842
O=C1NCC[C@]2(C)[C@H]3[C@H](O)C=C(C)[C@@H](CCC#N)[C@@H]3CCC2=C1,61.0,Low,3.0,2-77,Table2,314.4290000000001,2.7059800000000003,73.12,2.0,3.0,2.0,3.0,23.0,0.6842105263157895
O=C1[C@@H]2[C@]3(C)C(=CNC(=O)CC3)CC[C@H]2[C@H](CCC#N)C(C)=C1,59.0,Low,11.0,2-78,Table2,312.413,3.2617800000000017,69.96000000000001,1.0,3.0,2.0,3.0,23.0,0.631578947368421
O=C(NCCc1cc2OCOc2cc1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,55.0,Low,7.0,2-79,Table2,493.5560000000004,2.0300999999999987,114.32000000000001,3.0,7.0,4.0,7.0,36.0,0.5714285714285714
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H](O)C=CC2=C2[C@]31CC(=C)[C@@](O)(C3)CC2,53.0,Low,10.0,2-80,Table2,374.4330000000003,1.6733,93.06000000000002,2.0,6.0,2.0,4.0,27.0,0.6190476190476191
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,53.0,Low,5.0,2-81,Table2,417.4580000000003,-0.3071999999999997,125.46,3.0,7.0,3.0,7.0,30.0,0.8636363636363636
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C=O)(C3)CC2,52.0,Low,3.0,2-82,Table2,415.4420000000003,-0.10060000000000002,122.29999999999998,2.0,7.0,3.0,7.0,30.0,0.8181818181818182
O=C(NCC1CCCCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,50.0,Low,26.0,2-83,Table2,473.56600000000043,1.1106999999999991,125.46,3.0,7.0,4.0,7.0,34.0,0.8846153846153846
O=C(OCC)CCNC(=O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,48.0,Low,3.0,2-84,Table2,445.5120000000004,1.0118999999999994,122.16000000000001,3.0,7.0,5.0,5.0,32.0,0.7083333333333334
O=C(OCC=C)N[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,46.0,Low,2.0,2-85,Table2,401.4590000000003,1.607099999999999,105.09000000000002,3.0,6.0,3.0,5.0,29.0,0.6363636363636364
O=C(OCC)CCNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,46.0,Low,6.0,2-86,Table2,419.5180000000002,2.3958000000000004,106.60999999999999,1.0,6.0,7.0,3.0,30.0,0.782608695652174
O=C1[C@@H]2[C@]3(C)[C@]4(O[C@H]4C[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,44.0,Low,10.0,2-87,Table2,404.5030000000004,2.8256000000000006,66.52000000000001,0.0,6.0,0.0,7.0,29.0,0.9565217391304348
O=C1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,40.0,Low,4.0,2-88,Table2,388.5040000000003,3.6144000000000025,53.99000000000001,0.0,5.0,0.0,6.0,28.0,0.8695652173913043
O[C@@H]1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,40.0,Low,6.0,2-89,Table2,390.52000000000027,3.406200000000002,57.150000000000006,1.0,5.0,0.0,6.0,28.0,0.9130434782608695
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,33.0,Low,2.0,2-90,Table2,385.46000000000026,1.221099999999999,95.86,3.0,5.0,2.0,6.0,28.0,0.7272727272727273
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)C)[C@H]2OC1)C,31.0,Low,3.0,2-91,Table2,302.326,-1.526399999999998,105.2,0.0,8.0,4.0,2.0,18.0,1.0
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H]3O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CO3,29.0,Low,13.0,2-92,Table2,390.4320000000002,1.7011999999999994,91.29000000000002,1.0,7.0,2.0,5.0,28.0,0.7142857142857143
O=C(OCC=C)N[C@H]1[C@@H]2[C@]3(C)C(=O)O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CC3=O,0.0,Low,0.0,2-93,Table2,399.4430000000002,1.8152999999999995,101.93,2.0,6.0,3.0,5.0,29.0,0.5909090909090909
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c([N+](=O)[O-])cccc1,0.0,Low,0.0,2-94,Table2,331.302,-0.1728000000000005,125.20000000000002,1.0,8.0,4.0,3.0,22.0,0.5
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(N)cc1,193.0,Low,15.0,2-95,Table2,301.32,-0.49880000000000035,108.08000000000001,2.0,7.0,3.0,3.0,20.0,0.5
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c(N)cccc1,193.0,Low,11.0,2-96,Table2,301.31999999999994,-0.49879999999999947,108.08000000000001,2.0,7.0,3.0,3.0,20.0,0.5
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3ccc(N)cc3)[C@H]2OC1)c1ccc(N)cc1,113.0,Low,2.0,2-97,Table2,456.49800000000016,0.4966000000000014,157.24,2.0,10.0,6.0,4.0,30.0,0.3333333333333333
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3c(N)cccc3)[C@H]2OC1)c1c(N)cccc1,91.0,Low,8.0,2-98,Table2,456.49800000000016,0.4966000000000014,157.24,2.0,10.0,6.0,4.0,30.0,0.3333333333333333
O(C)c1c(O)c2c(cc1)C=C[C@]1(CC[N+]([O-])(C)C)C2=CC(=O)C(OC)=C1,18.0,Low,7.0,99,Table2,357.40600000000006,2.8747000000000007,78.82000000000001,1.0,5.0,5.0,3.0,26.0,0.35
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(-c2ccccc2)cc1,71.0,Low,11.0,3-2,Table3,403.4560000000001,1.7298,90.93000000000002,1.0,6.0,5.0,4.0,28.0,0.35
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H](N(C)C)[C@H]3OC2)cc1,7.0,Low,1.0,3-5,Table3,392.27100000000013,1.2508,65.07000000000001,0.0,6.0,4.0,3.0,22.0,0.5714285714285714
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H]([N+](C)(C)C)[C@H]3OC2)cc1,30.0,Low,1.0,3-6,Table3,407.30600000000015,1.3953999999999998,61.83000000000001,0.0,5.0,4.0,3.0,23.0,0.6
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H](NC(=O)C)[C@H]3OC2)cc1,8.0,Low,1.0,3-7,Table3,406.25400000000013,0.8252999999999995,90.93000000000002,1.0,6.0,4.0,3.0,23.0,0.5
CC1=C([C@H](C[N+](C)(C)C)[C@]2(CC3=C)[C@]4([H])CC[C@]3(O)C2)C4=CC=C1,30.0,Low,1.0,3-11,Table3,312.47700000000003,3.7433200000000024,20.23,1.0,1.0,2.0,4.0,23.0,0.6190476190476191
CC1=C([C@H](CNC(C)=O)[C@]2(CC3=C)[C@]4([H])CC[C@]3(O)C2)C4=CC=C1,91.0,Low,4.0,3-12,Table3,311.425,3.1732200000000015,49.33,2.0,2.0,2.0,4.0,23.0,0.55
OC[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@@H](O)[C@](C)(C3)CC2,113.0,Low,20.0,3-15,Table3,272.38800000000003,3.109320000000002,40.46,2.0,2.0,1.0,4.0,20.0,0.6666666666666666
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,49.0,Low,1.0,3-19,Table3,298.38200000000006,3.2101200000000016,46.53,1.0,3.0,1.0,4.0,22.0,0.5263157894736842
O=C1[C@@]2([C@@H](C=C[C@@]3([C@@H]2[C@@H]([C@@]45[C@H]3CC[C@@](C(C4)=C)(C5)O)C[NH3+])O1)[NH3+])C,504.0,High,39.0,3-20,Table3,332.444,-0.565999999999997,101.81,3.0,3.0,1.0,5.0,24.0,0.7368421052631579
