SMILES,,,Accumulation Status
O[C@@H]1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,,,DA (Doesn't Accumulate)
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)C)[C@H]2OC1)C,,,DA (Doesn't Accumulate)
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H]3O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CO3,,,DA (Doesn't Accumulate)
O=C(OCC=C)N[C@H]1[C@@H]2[C@]3(C)C(=O)O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CC3=O,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c([N+](=O)[O-])cccc1,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(N)cc1,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c(N)cccc1,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3ccc(N)cc3)[C@H]2OC1)c1ccc(N)cc1,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3c(N)cccc3)[C@H]2OC1)c1c(N)cccc1,,,DA (Doesn't Accumulate)
O=C([O-])[C@]1(C)[C@@H](O)[C@H](O)C=C2[C@@H]1[C@H]([NH3+])[C@@]13[C@H]2CC[C@@](O)(C(=C)C1)C3,,,DA (Doesn't Accumulate)
O(C)c1c(O)c2c(cc1)C=C[C@]1(CC[N+]([O-])(C)C)C2=CC(=O)C(OC)=C1,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(-c2ccccc2)cc1,,,DA (Doesn't Accumulate)
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H](N(C)C)[C@H]3OC2)cc1,,,DA (Doesn't Accumulate)
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H]([N+](C)(C)C)[C@H]3OC2)cc1,,,DA (Doesn't Accumulate)
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H](NC(=O)C)[C@H]3OC2)cc1,,,DA (Doesn't Accumulate)
O[C@@]12C(=C)C[C@]3([C@@H](C[NH2+]C)c4c(C)cccc4[C@H]3CC1)C2,,,DA (Doesn't Accumulate)
